token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
小水牛,S6_39_1,1,tri,,1+2MH_HTs,
老青椒,S6_2_tri,tri,tri,,1+2MH_LT,
老樱桃,S6_13_1,1,tri,,1+2MH_LT,
新皮鞋,S6_14_tri,tri,tri,,1+2MH_HTp,
樱桃籽,S6_9_1,1,tri,,2+1LL_HTp,
修门工,S6_7_2,2,tri,,2+1VL_HTp,
买黄瓜,S6_18_tri,tri,tri,,1+2VO_LT,
造纸厂,S6_6_1,1,tri,,2+1VL_LT,
新书包,S6_42_1,1,tri,,1+2MH_HTp,
新皮袄,S6_5_3,3,tri,,1+2MH_HTp,
采樱桃,S6_40_tri,tri,tri,,1+2VO_HTs,
