token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
新皮袄,S4_5_2,2,tri,,1+2MH_HTp,
买茶人,S4_41_di_3,di_3,tri,,2+1VL_LT,
苦瓜籽,S4_17_tri,tri,tri,,2+1LL_HTs,
采梅花,S4_3_tri,tri,tri,,1+2VO_HTs,
老青椒,S4_2_di_3,di_3,tri,,1+2MH_LT,
青椒籽,S4_38_1,1,tri,,2+1LL_HTp,
造船厂,S4_28_tri,tri,tri,,2+1VL_LT,
小樱桃,S4_37_3,3,tri,,1+2MH_HTs,
小黄瓜,S4_1_3,3,tri,,1+2MH_HTs,
黄瓜籽,S4_11_di_3,di_3,tri,,2+1LL_LT,
采杨梅,S4_15_1,1,tri,,1+2VO_HTs,
买黄瓜,S4_18_di_3,di_3,tri,,1+2VO_LT,
新书房,S4_19_di_3,di_3,tri,,1+2MH_HTp,
苦瓜籽,S4_17_3,3,tri,,2+1LL_HTs,
老杨梅,S4_8_tri,tri,tri,,1+2MH_LT,
小杨梅,S4_12_1,1,tri,,1+2MH_HTs,
樱桃籽,S4_9_2,2,tri,,2+1LL_HTp,
小樱桃,S4_37_tri,tri,tri,,1+2MH_HTs,
新手机,S4_35_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S4_4_di_3,di_3,tri,,1+2VO_LT,
买茶人,S4_41_3,3,tri,,2+1VL_LT,
草莓籽,S4_10_1,1,tri,,2+1LL_HTs,
黄瓜籽,S4_11_2,2,tri,,2+1LL_LT,
开门人,S4_21_tri,tri,tri,,2+1VL_HTp,
新书房,S4_19_2,2,tri,,1+2MH_HTp,
采樱花,S4_33_tri,tri,tri,,1+2VO_HTs,
黄瓜籽,S4_11_tri,tri,tri,,2+1LL_LT,
苦瓜皮,S4_31_3,3,tri,,2+1LL_HTs,
黄瓜皮,S4_20_tri,tri,tri,,2+1LL_LT,
采梅花,S4_3_di_3,di_3,tri,,1+2VO_HTs,
小苦瓜,S4_34_1,1,tri,,1+2MH_HTs,
新书房,S4_19_1,1,tri,,1+2MH_HTp,
开锁人,S4_43_1,1,tri,,2+1VL_HTp,
苦瓜籽,S4_17_2,2,tri,,2+1LL_HTs,
新手链,S4_27_di_3,di_3,tri,,1+2MH_HTp,
采梅花,S4_3_1,1,tri,,1+2VO_HTs,
老杨梅,S4_8_3,3,tri,,1+2MH_LT,
小苦瓜,S4_34_2,2,tri,,1+2MH_HTs,
采杨梅,S4_15_3,3,tri,,1+2VO_HTs,
水牛毛,S4_25_2,2,tri,,2+1LL_HTs,
新皮鞋,S4_14_1,1,tri,,1+2MH_HTp,
买黄瓜,S4_18_1,1,tri,,1+2VO_LT,
新手链,S4_27_tri,tri,tri,,1+2MH_HTp,
小苦瓜,S4_34_di_3,di_3,tri,,1+2MH_HTs,
修门工,S4_7_tri,tri,tri,,2+1VL_HTp,
杨桃皮,S4_26_2,2,tri,,2+1LL_LT,
小水牛,S4_39_di_3,di_3,tri,,1+2MH_HTs,
买樱桃,S4_24_1,1,tri,,1+2VO_LT,
买杨梅,S4_32_1,1,tri,,1+2VO_LT,
修车工,S5_36_3,3,tri,,2+1VL_HTp,
造船厂,S5_28_3,3,tri,,2+1VL_LT,
买花人,S5_22_1,1,tri,,2+1VL_LT,
修车工,S5_36_di_3,di_3,tri,,2+1VL_HTp,
买茶人,S5_41_tri,tri,tri,,2+1VL_LT,
老青椒,S5_2_3,3,tri,,1+2MH_LT,
小苦瓜,S5_34_tri,tri,tri,,1+2MH_HTs,
买杨梅,S5_32_3,3,tri,,1+2VO_LT,
老黄瓜,S5_16_di_3,di_3,tri,,1+2MH_LT,
小樱桃,S5_37_1,1,tri,,1+2MH_HTs,
黄瓜籽,S5_11_3,3,tri,,2+1LL_LT,
小青椒,S5_29_di_3,di_3,tri,,1+2MH_HTs,
小青椒,S5_29_1,1,tri,,1+2MH_HTs,
买杨梅,S5_32_di_3,di_3,tri,,1+2VO_LT,
小水牛,S5_39_tri,tri,tri,,1+2MH_HTs,
樱桃籽,S5_9_di_3,di_3,tri,,2+1LL_HTp,
采樱花,S5_33_3,3,tri,,1+2VO_HTs,
草莓籽,S5_10_3,3,tri,,2+1LL_HTs,
买茶人,S5_41_1,1,tri,,2+1VL_LT,
修门工,S5_7_3,3,tri,,2+1VL_HTp,
新皮鞋,S5_14_2,2,tri,,1+2MH_HTp,
买黄瓜,S5_18_3,3,tri,,1+2VO_LT,
苦瓜皮,S5_31_tri,tri,tri,,2+1LL_HTs,
草莓籽,S5_10_tri,tri,tri,,2+1LL_HTs,
买花人,S5_22_tri,tri,tri,,2+1VL_LT,
新皮鞋,S5_14_3,3,tri,,1+2MH_HTp,
买樱桃,S5_24_3,3,tri,,1+2VO_LT,
小杨梅,S5_12_2,2,tri,,1+2MH_HTs,
苦瓜皮,S5_31_1,1,tri,,2+1LL_HTs,
新皮袄,S5_5_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S5_4_2,2,tri,,1+2VO_LT,
苦瓜皮,S5_31_2,2,tri,,2+1LL_HTs,
小水牛,S5_39_2,2,tri,,1+2MH_HTs,
小黄瓜,S5_1_2,2,tri,,1+2MH_HTs,
青椒皮,S5_44_tri,tri,tri,,2+1LL_HTp,
青椒籽,S5_38_3,3,tri,,2+1LL_HTp,
樱桃皮,S5_23_1,1,tri,,2+1LL_HTp,
老杨梅,S5_8_2,2,tri,,1+2MH_LT,
小青椒,S5_29_3,3,tri,,1+2MH_HTs,
水牛毛,S5_25_di_3,di_3,tri,,2+1LL_HTs,
开锁人,S5_43_tri,tri,tri,,2+1VL_HTp,
造船厂,S5_28_1,1,tri,,2+1VL_LT,
老樱桃,S5_13_di_3,di_3,tri,,1+2MH_LT,
